client_code,Карта для путешествий__gain,Карта для путешествий__fit,Карта для путешествий__score,Премиальная карта__gain,Премиальная карта__fit,Премиальная карта__score,Кредитная карта__gain,Кредитная карта__fit,Кредитная карта__score,Обмен валют__gain,Обмен валют__fit,Обмен валют__score,Депозит Сберегательный__gain,Депозит Сберегательный__fit,Депозит Сберегательный__score,Депозит Накопительный__gain,Депозит Накопительный__fit,Депозит Накопительный__score,Депозит Мультивалютный__gain,Депозит Мультивалютный__fit,Депозит Мультивалютный__score,Инвестиции__gain,Инвестиции__fit,Инвестиции__score,chosen,score_chosen
14,2241.556266666667,0.5603890666666667,1444.5651677818737,19752.51295,0.23791590666666665,2349.7185137221622,19870.204700000002,0.767936732235867,3814.765016543942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Кредитная карта,3814.765016543942
15,2595.267333333333,0.7,2089.190203333333,21318.488383333333,0.28883556666666665,3078.768836338417,19834.260499999997,0.7849948501797519,3892.4480874059172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Кредитная карта,3892.4480874059172
16,3963.7740000000003,0.9909435000000001,4517.05749288435,16545.941733333337,0.2047437066666667,1693.8387203866796,15100.906499999997,0.7307367657905484,2758.696894078867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Карта для путешествий,4517.05749288435
17,2445.3344,0.9,2530.921104,21215.18073333333,0.29914146666666663,3173.1701400838706,18774.7357,0.765533202971544,3593.1708888412986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Кредитная карта,3593.1708888412986
18,2328.2884,0.6,1606.5189959999998,21595.560083333334,0.24988272,2698.17864677338,21626.711499999998,0.8105386210204322,4382.32122910418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Кредитная карта,4382.32122910418
19,2994.6572000000006,0.75,2582.891835,22875.06301666667,0.32873498,3759.9166916413287,38666.4526,0.7762328313859848,7503.542495337492,10057.04487,1.0,10559.8971135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Обмен валют,10559.8971135
20,3601.3660000000004,1.0,4141.570900000001,22939.282083333335,0.3668923466666667,4208.123517201395,38648.8838,0.7934658878754188,7666.642724940223,8953.09893,1.0,9400.7538765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Обмен валют,9400.7538765
21,3312.0796000000005,1.0,3808.89154,30555.588416666666,0.5369079533333334,8202.769219844104,38967.3936,0.7978260735426042,7772.300658019301,10084.45871,1.0,10588.6816455,7518.677298,0.3244276510076898,2439.2668144749837,11771.666476666665,1.0,12360.2498005,12113.424535666665,1.0,13324.766989233332,0.0,0.0,0.0,Депозит Мультивалютный,13324.766989233332
22,3677.0887999999995,1.0,4228.652119999999,22881.956516666665,0.32865774000000003,3760.1660577729695,39645.043399999995,0.7898920757789537,7828.8264063931765,8825.074050000001,1.0,9266.327752500001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Обмен валют,9266.327752500001
23,3539.5029333333327,0.9,3663.385535999999,23598.575983333332,0.36001986666666674,4247.978089521435,39349.185399999995,0.798739334802762,7857.435542856638,10787.81653,1.0,11327.207356500001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Обмен валют,11327.207356500001
24,3463.674266666667,0.8659185666666668,3449.1488348510507,25349.71053333334,0.3697374600000001,4686.368792164958,42900.58,0.8033835963421789,8616.405561391339,9924.668440000001,1.0,10420.901862000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Обмен валют,10420.901862000002
25,4152.147733333334,1.0,4774.969893333334,21767.651016666667,0.29514438,3212.2999316852265,38567.7632,0.7809035674784013,7529.425968135551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Кредитная карта,7529.425968135551
26,9712.866533333334,1.0,11169.796513333333,25292.727333333336,0.3189946,4034.1217193028674,37709.6346,0.7106242190160874,6699.344909251757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Карта для путешествий,11169.796513333333
27,7407.098533333334,1.0,8518.163313333333,25899.972183333335,0.3909834200000001,5063.2298510722685,39924.462400000004,0.7701985581897091,7687.440844244814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Карта для путешествий,8518.163313333333
28,7455.659199999999,1.0,8574.008079999998,23981.77625,0.33005902,3957.700783467137,36853.5688,0.7374298057040509,6794.230019921219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Карта для путешествий,8574.008079999998
29,7876.2664,1.0,9057.70636,0.0,0.0,0.0,43081.232200000006,0.7869568330535426,8475.767514039077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Карта для путешествий,9057.70636
30,8388.073066666666,1.0,9646.284026666664,26910.567133333334,0.37569747333333336,5055.116038980189,43514.6074,0.7747101909847558,8427.802452370168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Карта для путешествий,9646.284026666664
31,3930.6108000000004,0.9826527,4441.789112559534,31842.39093333333,0.48326524000000004,7694.160348285578,39210.541600000004,0.7805573031945949,7651.51865202387,0.0,0.0,0.0,3024.156663,0.22257477864041394,673.100999841158,4734.7907350000005,0.8346554199015522,4149.514686520774,4429.3203650000005,0.3,1461.6757204500002,0.0,0.0,0.0,Премиальная карта,7694.160348285578
32,3995.51,0.9988775,4589.67879602875,47509.67091666666,1.0,23754.83545833333,55308.75520000001,0.8508861445420959,11765.36336788765,0.0,0.0,0.0,9024.054699,0.30306133890101106,2734.8420993949003,14128.570488333335,1.0,14834.999012750002,13217.049811666668,0.3,4361.626437850001,0.0,0.0,0.0,Премиальная карта,23754.83545833333
33,3160.296933333333,0.7900742333333333,2871.3995532153695,24377.914866666666,0.42182428000000005,5141.598193266482,43103.1162,0.7993366496319962,8613.475123001655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Кредитная карта,8613.475123001655
34,0.0,0.0,0.0,1238.0576666666666,0.011593000000000001,7.176401264833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.965,0.57965,33.59941225,Инвестиции,33.59941225
35,4096.333333333333,1.0,4710.783333333333,45701.974083333334,0.8836511533333333,20192.301054173804,53160.2652,0.8471559167969949,11258.758300669346,0.0,0.0,0.0,2116.361907,0.19442563650380554,411.4750108408827,3313.495915,0.7290961368892708,2536.6499247861234,3099.721985,0.3,1022.9082550500001,0.0,0.0,0.0,Премиальная карта,20192.301054173804
36,3558.7572,1.0,4092.5707799999996,20987.4621,0.33540798,3519.681134143779,38698.1828,0.7777962751336596,7524.8256090703635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Кредитная карта,7524.8256090703635
37,3116.2173333333335,0.8,2866.919946666667,22584.59341666667,0.3835947133333334,4331.66531870807,41220.499,0.800832681136737,8252.680682991047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Кредитная карта,8252.680682991047
38,4056.199066666667,1.0,4664.628926666666,45005.956,1.0,22502.978,53237.2656,0.8232216985592138,10956.51805347,0.0,0.0,0.0,38150.485593,0.4,15260.1942372,59730.55825166667,1.0,62717.08616425,55876.973848333335,0.3,18439.40136995,0.0,0.0,0.0,Депозит Накопительный,62717.08616425
39,3293.4572000000003,0.8233643,3118.4723443666544,30128.008483333328,0.45726328000000005,6888.215989478412,39431.1244,0.7809419539463544,7698.354833809442,0.0,0.0,0.0,2970.058080000001,0.22484919367233763,667.8151644480115,4650.090933333336,0.843184476271266,4116.928712648253,4350.085066666668,0.3,1435.5280720000005,0.0,0.0,0.0,Кредитная карта,7698.354833809442
40,4065.564,1.0,4675.3985999999995,0.0,0.0,0.0,45375.61439999999,0.8369343399461768,9494.102471879058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Кредитная карта,9494.102471879058
41,3323.3972000000003,1.0,3821.9067800000003,32113.742299999998,0.46155824,7411.1811879007755,41162.1658,0.8036162902766331,8269.646744986925,0.0,0.0,0.0,1661.2619100000006,0.19345810519015405,321.38458133317636,2600.9656166666678,0.7254678944630776,1981.262901968729,2433.161383333334,0.3,802.9432565000003,100.68254000000005,1.0,100.68254000000005,Кредитная карта,8269.646744986925
42,4587.678666666667,1.0,5275.830466666666,48706.19515,1.0,24353.097575,56660.27620000001,0.8538786450845655,12095.249967943315,0.0,0.0,0.0,13892.965944,0.37315861642402814,5184.279949689182,21751.613346666665,1.0,22839.194014,20348.283453333333,0.3,6714.933539600001,0.0,0.0,0.0,Премиальная карта,24353.097575
43,2898.2914666666666,0.7245728666666666,2415.0268599039346,0.0,0.0,0.0,39960.183600000004,0.7854509175488872,7846.690718510499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Кредитная карта,7846.690718510499
44,3409.7838666666667,0.8524459666666666,3342.6549799968316,22256.99321666667,0.30655870666666674,3411.5375273950544,40240.816,0.8134081347725521,8183.0517710713675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Кредитная карта,8183.0517710713675
45,0.0,0.0,0.0,1347.2991333333334,0.0072552,4.8874623360800005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.276,0.36276,13.159481760000002,Инвестиции,13.159481760000002
46,3063.745466666667,0.7659363666666668,2698.6291817996594,22507.092816666664,0.3116907666666667,3507.626507732329,41483.8464,0.7928999465120219,8223.134897918233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Кредитная карта,8223.134897918233
47,6009.496933333334,1.0,6910.921473333334,23676.7266,0.3023137533333333,3578.900042546586,40837.3518,0.7879686525081604,8044.6382674619235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Кредитная карта,8044.6382674619235
48,3616.411466666667,0.9041028666666666,3760.049170168468,22837.61565,0.33533048666666665,3829.074385110391,38428.640400000004,0.7845518500130788,7537.315229826836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Кредитная карта,7537.315229826836
49,8254.216533333334,1.0,9492.349013333334,36552.51735,0.5436042333333333,9935.051585225057,41779.097400000006,0.764569063628012,7985.751344585379,0.0,0.0,0.0,2655.0517949999994,0.20728650961884265,550.3564194427928,4156.899275,0.7773244110706599,3392.822244860399,3888.7122249999993,0.3,1283.2750342499999,1551.0169433333333,1.0,1551.0169433333333,Премиальная карта,9935.051585225057
50,4675.235066666667,1.0,5376.520326666667,44122.70681666667,0.9983461866666667,22024.868047915257,52906.4468,0.8325586197630427,11011.929581093711,0.0,0.0,0.0,19512.913761,0.4,7805.1655044,30550.521545,1.0,32078.04762225,28579.520155000002,0.3,9431.241651150001,2510.9486406666665,1.0,2510.9486406666665,Депозит Накопительный,32078.04762225
51,3234.0103999999997,0.8085026,3006.9116893510954,30029.043749999997,0.42809332,6427.616517681375,38900.0706,0.760459028299296,7395.477472312503,0.0,0.0,0.0,4183.07505,0.2479906671196012,1037.3635722608592,6549.258916666667,0.9299650016985044,6395.110658539955,6126.726083333334,0.3,2021.8196075000003,2009.7055933333334,1.0,2009.7055933333334,Кредитная карта,7395.477472312503
52,5741.3893333333335,1.0,6602.597733333333,42393.311133333336,0.9689209733333334,20537.884143066087,52842.527400000006,0.8633975672711605,11406.027401404912,0.0,0.0,0.0,18723.356948999997,0.4,7489.3427796,29314.346738333334,1.0,30780.06407525,27423.098561666666,0.3,9049.62252535,2548.0208926666664,1.0,2548.0208926666664,Депозит Накопительный,30780.06407525
53,4200.0868,1.0,4830.099819999999,31283.026316666666,0.4940751133333333,7728.082386408366,41875.3234,0.8169995571114402,8553.030167924582,0.0,0.0,0.0,2820.3184019999994,0.21966560469464144,619.5269472067547,4415.650023333333,0.8237460176049053,3819.242827950732,4130.769376666666,0.3,1363.1538943,1329.5819580000002,1.0,1329.5819580000002,Кредитная карта,8553.030167924582
54,14099.0144,1.0,16213.866559999999,55424.133283333336,1.0,27712.066641666668,60568.525,0.8043722336200179,12179.909935329973,0.0,0.0,0.0,20918.177214,0.4,8367.2708856,32750.681496666664,1.0,34388.2155715,30637.73430333333,0.3,10110.4523201,2658.911726,1.0,2658.911726,Депозит Накопительный,34388.2155715
55,4150.7208,1.0,4773.32892,39542.88676666667,0.9188587400000001,18167.163555191008,50016.738000000005,0.8446310438266535,10561.422406436062,0.0,0.0,0.0,19920.022979999998,0.4,7968.0091919999995,31187.91476666667,1.0,32747.310505000005,29175.791233333337,0.3,9628.011107000002,0.0,0.0,0.0,Депозит Накопительный,32747.310505000005
56,7759.009333333333,1.0,8922.860733333333,26634.816533333335,0.3668081466666667,4884.933844699347,41988.418399999995,0.7486822193781381,7858.995568972461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Карта для путешествий,8922.860733333333
57,4080.4652,1.0,4692.534979999999,45279.6483,0.9860030333333333,22322.935286033255,54224.16420000001,0.8424819957228673,11420.720517905114,0.0,0.0,0.0,12825.765183,0.36675686522468465,4703.937432624984,20080.74346833333,1.0,21084.780641749996,18785.211631666665,0.3,6199.119838449999,0.0,0.0,0.0,Премиальная карта,22322.935286033255
58,2861.0616,0.7152653999999999,2353.381125210936,23219.725866666668,0.3015705733333333,3501.193021126748,42010.2644,0.7905265325672031,8302.557162090852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Кредитная карта,8302.557162090852
59,3252.7809333333335,0.8131952333333333,3041.91784257385,44683.1155,1.0,22341.55775,55336.17279999999,0.830319933355306,11486.681827858421,0.0,0.0,0.0,26323.259952,0.4,10529.303980800001,41213.184773333334,1.0,43273.844012,38554.26962666667,0.3,12722.9089768,0.0,0.0,0.0,Депозит Накопительный,43273.844012
60,3423.2792,1.0,3936.7710799999995,24282.0385,0.3709715066666667,4503.972203641503,39880.8106,0.7964045613234036,7940.314867778686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Кредитная карта,7940.314867778686
