"client_code","product","push_notification"
"26","Инвестиции (брокерский счёт)","Маржан, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"27","Инвестиции (брокерский счёт)","Нурсултан, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"28","Инвестиции (брокерский счёт)","Алтынай, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"29","Инвестиции (брокерский счёт)","Сая, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"30","Инвестиции (брокерский счёт)","Ербол, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"31","Инвестиции (брокерский счёт)","Дамир, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"32","Инвестиции (брокерский счёт)","Алия, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"33","Инвестиции (брокерский счёт)","Мерей, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"34","Инвестиции (брокерский счёт)","Инкар, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"35","Инвестиции (брокерский счёт)","Самат, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"36","Инвестиции (брокерский счёт)","Назым, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"37","Инвестиции (брокерский счёт)","Гульнар, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"38","Инвестиции (брокерский счёт)","Серик, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"39","Инвестиции (брокерский счёт)","Ляззат, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"40","Инвестиции (брокерский счёт)","Асхат, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"41","Инвестиции (брокерский счёт)","Сандугаш, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"42","Инвестиции (брокерский счёт)","Рустем, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"43","Инвестиции (брокерский счёт)","Нуртас, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"44","Инвестиции (брокерский счёт)","Айнагуль, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"45","Инвестиции (брокерский счёт)","Диана, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"46","Инвестиции (брокерский счёт)","Арсен, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"47","Инвестиции (брокерский счёт)","Камшат, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"48","Инвестиции (брокерский счёт)","Ержан, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"49","Инвестиции (брокерский счёт)","Амина, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"50","Инвестиции (брокерский счёт)","Тимурлан, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"51","Инвестиции (брокерский счёт)","Жанат, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"52","Инвестиции (брокерский счёт)","Милана, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"53","Инвестиции (брокерский счёт)","Расул, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"54","Инвестиции (брокерский счёт)","Виктория, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"55","Инвестиции (брокерский счёт)","Асель, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"56","Инвестиции (брокерский счёт)","Нуркен, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"57","Инвестиции (брокерский счёт)","Жания, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"58","Инвестиции (брокерский счёт)","Султан, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"59","Инвестиции (брокерский счёт)","Динара, попробуйте инвестиции с низким порогом входа и без комиссий на старт. Открыть счёт."
"60","Депозит мультивалютный","Ермек, у вас остаются свободные средства 48 779 ₸. Депозит мультивалютный — проценты и удобное хранение валюты. Открыть вклад."
